year,state,welfare,employed,earnings,white,woman,reform,avg_benefit
1991,"alabama",0,0,0,0,0,0,168.5625
1993,"alabama",0,0,0,1,0,0,168.5625
1994,"alabama",0,1,3750,0,0,0,168.5625
2000,"alabama",0,0,0,1,1,1,168.5625
2000,"alabama",0,0,0,0,0,1,168.5625
1997,"alabama",0,0,0,0,1,1,168.5625
1994,"alabama",0,0,0,0,0,0,168.5625
1996,"alabama",0,0,0,0,1,1,168.5625
1997,"alabama",0,1,10000,0,0,1,168.5625
1997,"alabama",0,0,0,1,0,1,168.5625
2001,"alabama",0,0,0,1,1,1,168.5625
2005,"alabama",0,0,0,1,0,1,168.5625
1998,"alabama",0,0,0,0,0,1,168.5625
1997,"alabama",0,0,0,1,1,1,168.5625
1995,"alabama",0,0,0,1,1,0,168.5625
1992,"alabama",0,0,0,0,1,0,168.5625
1993,"alabama",0,0,0,0,1,0,168.5625
1996,"alabama",0,0,0,0,0,1,168.5625
1992,"alabama",0,0,0,1,0,0,168.5625
1993,"alabama",0,0,0,1,0,0,168.5625
1992,"alabama",0,0,0,0,0,0,168.5625
1993,"alabama",0,0,0,1,1,0,168.5625
1995,"alabama",0,0,0,0,1,0,168.5625
1995,"alabama",0,1,12800,0,0,0,168.5625
1999,"alabama",0,0,0,1,1,1,168.5625
1998,"alabama",0,0,0,1,0,1,168.5625
1998,"alabama",0,0,0,0,1,1,168.5625
1998,"alabama",0,0,0,0,1,1,168.5625
1999,"alabama",0,0,0,0,1,1,168.5625
1994,"alabama",0,0,0,1,0,0,168.5625
1998,"alabama",0,0,0,1,0,1,168.5625
1991,"alabama",0,1,10400,0,0,0,168.5625
1992,"alabama",0,0,0,0,1,0,168.5625
2000,"alabama",0,0,0,1,0,1,168.5625
2004,"alabama",0,0,0,0,1,1,168.5625
2000,"alabama",0,0,0,1,1,1,168.5625
2001,"alabama",0,0,0,1,0,1,168.5625
1992,"alabama",0,0,0,1,0,0,168.5625
2004,"alabama",0,0,0,1,0,1,168.5625
1995,"alabama",0,0,0,0,0,0,168.5625
1993,"alabama",0,0,0,1,0,0,168.5625
1996,"alabama",0,0,0,1,1,1,168.5625
2005,"alabama",0,0,0,0,1,1,168.5625
2003,"alabama",0,0,0,0,1,1,168.5625
2002,"alabama",0,0,0,0,1,1,168.5625
2005,"alabama",0,0,0,0,1,1,168.5625
1998,"alabama",0,0,0,0,0,1,168.5625
2001,"alabama",0,0,0,0,1,1,168.5625
1996,"alabama",0,0,0,1,1,1,168.5625
1998,"alabama",0,0,300,0,0,1,168.5625
1996,"alabama",0,0,0,0,1,1,168.5625
1999,"alabama",0,0,0,0,0,1,168.5625
1995,"alabama",0,0,0,1,1,0,168.5625
2005,"alabama",0,0,0,0,1,1,168.5625
2001,"alabama",0,0,0,0,1,1,168.5625
1991,"alabama",0,0,0,0,0,0,168.5625
1999,"alabama",0,0,0,0,1,1,168.5625
1990,"alabama",0,0,0,0,0,0,168.5625
2003,"alabama",0,0,0,0,1,1,168.5625
2002,"alabama",0,0,0,1,1,1,168.5625
2003,"alabama",0,1,5000,1,0,1,168.5625
1992,"alabama",0,0,0,0,1,0,168.5625
1992,"alabama",0,0,11000,1,0,0,168.5625
1994,"alabama",0,0,7500,0,1,0,168.5625
1992,"alabama",0,0,16200,0,0,0,168.5625
1993,"alabama",0,0,0,0,0,0,168.5625
1999,"alabama",0,0,0,0,0,1,168.5625
1999,"alabama",0,1,6500,0,1,1,168.5625
2001,"alabama",0,0,0,0,1,1,168.5625
1995,"alabama",0,0,0,0,1,0,168.5625
1992,"alabama",0,0,0,1,0,0,168.5625
2002,"alabama",0,0,0,1,0,1,168.5625
2004,"alabama",0,1,0,1,0,1,168.5625
1990,"alabama",0,0,0,0,0,0,168.5625
1992,"alabama",0,0,0,1,1,0,168.5625
1993,"alabama",0,0,0,0,0,0,168.5625
1992,"alabama",0,0,0,0,0,0,168.5625
1996,"alabama",0,0,0,0,0,1,168.5625
2001,"alabama",0,0,0,1,1,1,168.5625
1991,"alabama",0,0,0,1,0,0,168.5625
1995,"alabama",0,0,0,1,0,0,168.5625
2004,"alabama",0,0,0,1,0,1,168.5625
1990,"alabama",0,0,0,0,0,0,168.5625
1992,"alabama",0,0,0,0,0,0,168.5625
1996,"alabama",0,0,0,0,1,1,168.5625
1995,"alabama",0,0,0,1,0,0,168.5625
1991,"alabama",0,0,0,1,0,0,168.5625
2003,"alabama",0,0,0,1,1,1,168.5625
1993,"alaska",0,0,0,0,0,0,1045.5
2001,"alaska",0,0,0,0,1,1,1045.5
2001,"alaska",0,0,0,0,1,1,1045.5
1993,"alaska",0,0,0,0,1,0,1045.5
2003,"alaska",0,1,24000,0,0,1,1045.5
1990,"alaska",1,0,0,1,1,0,1045.5
2005,"alaska",0,0,0,1,0,1,1045.5
2001,"alaska",0,0,400,0,1,1,1045.5
2001,"alaska",0,1,9000,1,0,1,1045.5
1990,"alaska",0,1,3600,1,1,0,1045.5
1992,"alaska",0,0,0,0,1,0,1045.5
1992,"alaska",0,1,17000,1,0,0,1045.5
1992,"alaska",1,0,0,0,1,0,1045.5
1998,"alaska",0,1,4125,0,1,1,1045.5
2005,"alaska",0,1,17680,0,0,1,1045.5
1993,"alaska",0,1,20000,0,0,0,1045.5
2002,"alaska",0,0,0,0,1,1,1045.5
1998,"alaska",0,0,0,1,0,1,1045.5
1990,"alaska",0,0,0,0,0,0,1045.5
1995,"alaska",0,0,0,0,1,0,1045.5
2003,"alaska",0,0,0,0,1,1,1045.5
2000,"alaska",0,0,0,0,1,1,1045.5
2003,"alaska",0,0,12000,0,0,1,1045.5
2002,"alaska",0,1,0,0,1,1,1045.5
1996,"alaska",1,0,0,0,1,0,1045.5
2005,"alaska",0,0,0,0,1,1,1045.5
2005,"alaska",0,1,63000,0,0,1,1045.5
2003,"alaska",0,1,0,0,1,1,1045.5
1998,"alaska",0,0,0,0,1,1,1045.5
2004,"alaska",0,0,0,0,1,1,1045.5
2004,"alaska",0,0,0,0,0,1,1045.5
2005,"alaska",0,1,0,0,1,1,1045.5
2001,"alaska",0,0,0,0,1,1,1045.5
2002,"alaska",0,0,0,0,1,1,1045.5
1990,"alaska",1,1,0,0,0,0,1045.5
2000,"alaska",0,0,0,0,1,1,1045.5
2004,"alaska",0,0,12000,0,0,1,1045.5
2003,"alaska",0,0,0,0,1,1,1045.5
1997,"alaska",0,0,0,0,1,1,1045.5
1991,"alaska",0,0,0,0,1,0,1045.5
2001,"alaska",0,0,0,0,1,1,1045.5
2004,"alaska",0,0,0,0,0,1,1045.5
2003,"alaska",0,1,41000,1,1,1,1045.5
1995,"alaska",0,0,0,0,0,0,1045.5
1997,"alaska",0,0,0,0,1,1,1045.5
1999,"alaska",0,0,0,0,1,1,1045.5
2002,"alaska",0,1,6240,0,1,1,1045.5
2003,"alaska",0,1,20000,0,0,1,1045.5
2004,"alaska",0,1,0,0,0,1,1045.5
1999,"alaska",0,0,0,0,1,1,1045.5
2003,"alaska",0,1,17680,0,0,1,1045.5
1993,"alaska",1,0,0,0,1,0,1045.5
2000,"alaska",1,0,0,0,1,1,1045.5
2005,"alaska",0,0,0,1,0,1,1045.5
1997,"alaska",0,1,0,0,0,1,1045.5
1997,"alaska",0,0,3300,0,1,1,1045.5
2004,"alaska",0,0,0,0,0,1,1045.5
2000,"alaska",0,0,0,0,1,1,1045.5
1997,"alaska",0,0,0,1,0,1,1045.5
1992,"alaska",0,0,0,0,1,0,1045.5
2002,"alaska",0,0,0,0,1,1,1045.5
1993,"alaska",0,1,0,0,0,0,1045.5
1991,"alaska",0,0,0,0,1,0,1045.5
2001,"alaska",0,0,0,0,1,1,1045.5
1993,"alaska",1,0,0,1,1,0,1045.5
1993,"alaska",0,0,0,0,0,0,1045.5
2001,"alaska",1,0,0,0,0,1,1045.5
2005,"alaska",1,1,3120,0,1,1,1045.5
1998,"alaska",1,0,0,0,1,1,1045.5
1993,"alaska",0,0,0,0,1,0,1045.5
2005,"alaska",0,0,0,0,1,1,1045.5
2003,"alaska",0,0,13000,0,1,1,1045.5
2002,"alaska",1,0,0,0,1,1,1045.5
1999,"alaska",0,1,10500,0,1,1,1045.5
2002,"alaska",0,0,0,0,0,1,1045.5
1993,"alaska",0,0,0,0,1,0,1045.5
1994,"alaska",1,0,0,1,1,0,1045.5
1999,"alaska",0,0,0,0,1,1,1045.5
1994,"alaska",0,0,0,0,1,0,1045.5
1992,"alaska",0,0,0,0,1,0,1045.5
2004,"alaska",0,1,9500,0,1,1,1045.5
2002,"alaska",0,0,0,0,0,1,1045.5
1990,"alaska",0,0,0,1,1,0,1045.5
1999,"alaska",1,0,0,0,1,1,1045.5
1998,"alaska",0,0,0,1,0,1,1045.5
2004,"alaska",0,0,0,0,1,1,1045.5
2000,"alaska",0,0,0,0,1,1,1045.5
1992,"alaska",0,0,0,0,1,0,1045.5
1998,"alaska",0,0,0,0,1,1,1045.5
2001,"alaska",0,0,0,1,1,1,1045.5
1997,"alaska",0,0,0,0,1,1,1045.5
1996,"alaska",0,1,3500,0,0,0,1045.5
2000,"alaska",0,1,13000,0,1,1,1045.5
2003,"alaska",0,0,0,0,0,1,1045.5
2005,"alaska",0,0,0,0,1,1,1045.5
1992,"alaska",0,0,0,0,0,0,1045.5
1991,"alaska",0,1,2000,1,0,0,1045.5
1997,"alaska",1,0,0,0,1,1,1045.5
1992,"alaska",0,0,4000,0,1,0,1045.5
1994,"alaska",0,0,6400,0,1,0,1045.5
1995,"alaska",0,1,18000,0,0,0,1045.5
2001,"alaska",0,1,10000,0,1,1,1045.5
2005,"alaska",0,0,0,1,1,1,1045.5
2002,"arizona",0,1,20000,1,0,1,342.8125
1996,"arizona",0,1,12500,1,0,1,342.8125
1998,"arizona",0,0,0,1,1,1,342.8125
1999,"arizona",0,1,35000,1,0,1,342.8125
1990,"arizona",0,1,15000,0,0,0,342.8125
1998,"arizona",0,0,0,1,1,1,342.8125
2001,"arizona",0,0,0,1,1,1,342.8125
2004,"arizona",0,1,15000,1,0,1,342.8125
1997,"arizona",0,0,0,0,1,1,342.8125
1999,"arizona",0,0,7147,1,1,1,342.8125
1993,"arizona",0,0,0,1,1,0,342.8125
1992,"arizona",0,0,0,1,1,0,342.8125
2005,"arizona",1,0,0,1,1,1,342.8125
1996,"arizona",0,0,0,1,1,1,342.8125
2003,"arizona",0,1,36400,1,0,1,342.8125
2002,"arizona",0,1,15000,1,0,1,342.8125
2004,"arizona",0,1,14000,1,0,1,342.8125
1994,"arizona",0,0,0,1,1,0,342.8125
2005,"arizona",0,0,0,1,1,1,342.8125
1990,"arizona",0,0,0,1,0,0,342.8125
1992,"arizona",0,0,0,1,0,0,342.8125
1992,"arizona",0,1,13500,1,0,0,342.8125
1995,"arizona",0,1,22000,1,0,1,342.8125
1994,"arizona",0,0,0,1,1,0,342.8125
1994,"arizona",0,1,500,1,0,0,342.8125
1998,"arizona",0,0,3000,1,0,1,342.8125
2004,"arizona",0,1,33000,1,0,1,342.8125
2005,"arizona",0,0,0,1,1,1,342.8125
2003,"arizona",0,0,0,1,1,1,342.8125
2003,"arizona",0,0,0,1,1,1,342.8125
1997,"arizona",0,1,15000,1,0,1,342.8125
1994,"arizona",0,0,0,1,0,0,342.8125
2001,"arizona",0,1,8000,1,1,1,342.8125
1999,"arizona",0,0,0,1,0,1,342.8125
1990,"arizona",0,0,0,1,1,0,342.8125
2004,"arizona",0,1,35000,1,0,1,342.8125
2003,"arizona",0,1,12000,1,0,1,342.8125
1999,"arizona",0,0,0,1,1,1,342.8125
1992,"arizona",1,0,0,1,1,0,342.8125
2001,"arizona",0,0,0,1,1,1,342.8125
1991,"arizona",0,0,3538,1,1,0,342.8125
1997,"arizona",0,1,24000,1,0,1,342.8125
2002,"arizona",0,1,16000,1,0,1,342.8125
1999,"arizona",0,0,0,1,1,1,342.8125
2005,"arizona",0,0,0,1,0,1,342.8125
2004,"arizona",0,1,15600,1,0,1,342.8125
2005,"arizona",0,1,14080,1,0,1,342.8125
2000,"arizona",0,0,0,1,1,1,342.8125
1991,"arizona",0,0,0,1,0,0,342.8125
2001,"arizona",0,1,2500,1,0,1,342.8125
1994,"arizona",0,0,0,1,1,0,342.8125
2001,"arizona",0,0,0,1,1,1,342.8125
1999,"arizona",0,1,1000,1,0,1,342.8125
1999,"arizona",0,1,0,1,0,1,342.8125
2002,"arizona",0,1,1000,1,0,1,342.8125
2000,"arizona",1,0,0,1,1,1,342.8125
2002,"arizona",0,1,5000,1,0,1,342.8125
1990,"arizona",0,0,0,1,1,0,342.8125
1993,"arizona",1,0,0,1,1,0,342.8125
2002,"arizona",0,1,300,1,0,1,342.8125
1997,"arizona",0,0,0,1,1,1,342.8125
2002,"arizona",0,0,0,1,1,1,342.8125
1994,"arizona",0,0,0,1,1,0,342.8125
2000,"arizona",0,0,0,1,1,1,342.8125
2004,"arizona",0,1,18000,1,1,1,342.8125
2004,"arizona",0,0,0,1,1,1,342.8125
2003,"arizona",0,0,0,1,1,1,342.8125
2004,"arizona",0,1,13000,1,0,1,342.8125
2004,"arizona",1,0,0,1,1,1,342.8125
2001,"arizona",0,0,0,1,1,1,342.8125
2005,"arizona",0,0,0,1,0,1,342.8125
1994,"arizona",0,1,7500,1,0,0,342.8125
1995,"arizona",0,0,0,1,1,1,342.8125
1998,"arizona",0,1,12000,1,1,1,342.8125
2000,"arizona",0,0,0,1,1,1,342.8125
1995,"arizona",0,1,15000,0,0,1,342.8125
2003,"arizona",0,1,13000,1,0,1,342.8125
1995,"arizona",0,0,50005,1,0,1,342.8125
2001,"arizona",0,0,27339,1,0,1,342.8125
2003,"arizona",0,0,0,1,1,1,342.8125
2002,"arizona",0,1,3000,1,0,1,342.8125
1993,"arizona",0,0,11500,1,0,0,342.8125
2001,"arizona",0,0,0,1,1,1,342.8125
1995,"arizona",0,0,0,1,1,1,342.8125
2001,"arizona",0,0,0,1,1,1,342.8125
2002,"arizona",0,0,0,1,1,1,342.8125
1998,"arizona",0,1,13000,1,1,1,342.8125
2001,"arizona",0,1,4000,1,0,1,342.8125
2004,"arizona",0,0,0,1,1,1,342.8125
2001,"arizona",0,1,17000,0,1,1,342.8125
2004,"arizona",0,0,0,1,1,1,342.8125
1991,"arizona",0,0,0,1,1,0,342.8125
1993,"arizona",0,1,5000,1,0,0,342.8125
1998,"arizona",0,0,1440,1,0,1,342.8125
2002,"arizona",0,0,0,1,1,1,342.8125
2003,"arizona",0,1,13500,1,0,1,342.8125
1999,"arizona",0,0,0,1,0,1,342.8125
2004,"arizona",0,0,0,1,0,1,342.8125
2004,"arizona",0,0,0,0,0,1,342.8125
2001,"arizona",0,0,0,1,1,1,342.8125
1993,"arizona",1,0,0,1,0,0,342.8125
2001,"arizona",0,0,0,1,1,1,342.8125
1991,"arizona",0,0,0,1,0,0,342.8125
1998,"arizona",0,0,3000,1,1,1,342.8125
1998,"arizona",0,0,0,1,1,1,342.8125
2003,"arizona",0,0,0,1,1,1,342.8125
1997,"arizona",0,0,0,0,1,1,342.8125
1996,"arizona",0,0,12000,0,0,1,342.8125
2002,"arizona",0,0,0,1,0,1,342.8125
1993,"arizona",0,0,0,0,1,0,342.8125
1992,"arizona",0,0,0,1,0,0,342.8125
2003,"arizona",0,0,0,1,0,1,342.8125
1992,"arizona",0,1,0,1,0,0,342.8125
2000,"arizona",0,0,0,1,1,1,342.8125
2001,"arizona",0,0,12000,1,0,1,342.8125
1994,"arizona",1,0,0,1,1,0,342.8125
1999,"arizona",0,0,0,1,1,1,342.8125
1998,"arizona",0,0,0,1,1,1,342.8125
1993,"arizona",0,0,0,1,1,0,342.8125
2005,"arizona",0,1,8000,1,0,1,342.8125
1999,"arizona",0,0,0,1,1,1,342.8125
1997,"arizona",0,1,15000,1,0,1,342.8125
2000,"arizona",0,0,3500,1,1,1,342.8125
1996,"arizona",0,0,0,1,0,1,342.8125
2005,"arizona",0,0,0,1,1,1,342.8125
2005,"arizona",0,0,0,1,1,1,342.8125
2005,"arizona",0,0,0,0,1,1,342.8125
2000,"arizona",0,1,0,1,1,1,342.8125
2000,"arizona",0,1,19760,1,0,1,342.8125
1999,"arizona",0,1,5580,1,1,1,342.8125
2000,"arizona",0,0,0,1,1,1,342.8125
1993,"arizona",0,1,9000,1,0,0,342.8125
1992,"arizona",0,0,0,0,0,0,342.8125
1997,"arizona",0,1,0,1,0,1,342.8125
2001,"arizona",0,0,0,1,1,1,342.8125
1996,"arizona",0,0,0,1,1,1,342.8125
2000,"arizona",0,0,0,1,0,1,342.8125
1995,"arizona",0,0,0,0,0,1,342.8125
1998,"arizona",0,1,18500,1,0,1,342.8125
2003,"arizona",1,1,20000,0,0,1,342.8125
1997,"arizona",0,0,0,1,1,1,342.8125
1993,"arizona",0,0,0,1,0,0,342.8125
1996,"arizona",0,1,12500,1,0,1,342.8125
1992,"arizona",0,0,0,1,1,0,342.8125
2003,"arizona",0,1,18000,1,0,1,342.8125
1995,"arizona",0,1,8320,1,1,1,342.8125
1994,"arizona",0,1,18000,1,0,0,342.8125
1998,"arizona",0,0,0,1,1,1,342.8125
2005,"arizona",0,1,17000,1,0,1,342.8125
1998,"arizona",0,1,24000,1,0,1,342.8125
2001,"arizona",0,0,0,1,1,1,342.8125
1998,"arizona",0,0,10400,1,0,1,342.8125
2002,"arizona",0,0,0,1,1,1,342.8125
1994,"arizona",0,1,25000,1,0,0,342.8125
2000,"arizona",0,0,0,1,1,1,342.8125
1996,"arizona",0,0,0,1,1,1,342.8125
1992,"arizona",0,0,0,1,0,0,342.8125
2005,"arizona",0,1,30000,1,0,1,342.8125
1999,"arizona",0,1,12000,1,0,1,342.8125
2000,"arizona",0,0,0,1,1,1,342.8125
1999,"arizona",0,1,23000,1,0,1,342.8125
2000,"arizona",1,0,0,1,0,1,342.8125
1993,"arizona",0,0,0,1,1,0,342.8125
1993,"arizona",0,0,0,1,1,0,342.8125
1995,"arizona",0,0,0,1,1,1,342.8125
2003,"arizona",0,0,0,1,0,1,342.8125
2002,"arizona",0,0,0,1,1,1,342.8125
2005,"arizona",0,0,0,0,0,1,342.8125
1994,"arizona",0,1,8840,1,0,0,342.8125
1993,"arizona",0,1,0,1,0,0,342.8125
2003,"arizona",0,1,20800,1,0,1,342.8125
2002,"arizona",0,1,13500,1,1,1,342.8125
1994,"arizona",0,1,0,1,1,0,342.8125
2004,"arizona",0,0,0,0,0,1,342.8125
2000,"arizona",0,0,0,1,1,1,342.8125
1996,"arizona",0,0,0,0,0,1,342.8125
1994,"arizona",0,1,18000,1,0,0,342.8125
2002,"arizona",0,1,7280,1,0,1,342.8125
2004,"arizona",0,0,0,1,1,1,342.8125
2001,"arizona",0,1,11000,1,0,1,342.8125
2003,"arizona",0,0,0,1,1,1,342.8125
2000,"arizona",0,0,0,1,1,1,342.8125
1998,"arizona",0,0,0,1,0,1,342.8125
1991,"arizona",0,0,0,1,0,0,342.8125
1997,"arizona",0,1,15000,0,0,1,342.8125
1992,"arizona",0,1,3600,1,1,0,342.8125
1997,"arizona",0,0,0,0,0,1,342.8125
1992,"arizona",0,0,0,1,0,0,342.8125
2001,"arizona",0,1,45000,1,0,1,342.8125
1999,"arizona",0,0,0,1,1,1,342.8125
2003,"arizona",0,0,0,1,1,1,342.8125
2000,"arizona",0,0,0,1,1,1,342.8125
1999,"arizona",0,0,0,1,0,1,342.8125
1996,"arizona",0,1,7680,0,0,1,342.8125
2004,"arizona",0,0,0,1,1,1,342.8125
1997,"arizona",0,0,0,1,1,1,342.8125
2005,"arizona",0,1,15000,1,0,1,342.8125
1995,"arizona",0,1,30000,1,0,1,342.8125
2001,"arizona",0,0,0,1,1,1,342.8125
2001,"arizona",0,1,0,1,0,1,342.8125
1998,"arizona",0,0,0,1,0,1,342.8125
2001,"arizona",0,0,0,1,0,1,342.8125
1992,"arizona",0,0,0,0,1,0,342.8125
2002,"arizona",0,1,16000,1,1,1,342.8125
1997,"arizona",0,1,14400,1,0,1,342.8125
1993,"arizona",0,0,0,0,0,0,342.8125
1993,"arizona",0,0,0,0,1,0,342.8125
1992,"arizona",0,1,10400,1,0,0,342.8125
2000,"arizona",0,1,11000,1,1,1,342.8125
2005,"arizona",0,0,0,1,0,1,342.8125
1998,"arizona",0,0,0,1,0,1,342.8125
2005,"arizona",0,0,0,1,1,1,342.8125
1996,"arizona",0,0,0,1,1,1,342.8125
1998,"arizona",0,0,0,1,1,1,342.8125
2005,"arizona",0,0,0,1,1,1,342.8125
1995,"arizona",0,1,11000,1,0,1,342.8125
2000,"arizona",0,0,0,1,0,1,342.8125
2000,"arizona",0,0,0,1,1,1,342.8125
2000,"arizona",0,1,32000,1,0,1,342.8125
2004,"arizona",0,1,12500,1,0,1,342.8125
2004,"arizona",0,1,10000,1,0,1,342.8125
1991,"arizona",0,0,0,0,1,0,342.8125
2000,"arizona",0,0,15000,1,0,1,342.8125
1997,"arizona",0,0,0,1,1,1,342.8125
1992,"arizona",0,0,0,1,0,0,342.8125
1996,"arizona",0,1,20000,1,0,1,342.8125
2005,"arizona",0,1,20800,1,0,1,342.8125
2000,"arizona",0,0,0,1,1,1,342.8125
2004,"arizona",0,0,8000,1,1,1,342.8125
1993,"arizona",0,1,2000,1,0,0,342.8125
2005,"arizona",1,0,0,1,1,1,342.8125
2004,"arizona",0,1,13000,1,0,1,342.8125
2005,"arizona",0,0,0,1,0,1,342.8125
1997,"arizona",0,0,0,0,1,1,342.8125
1996,"arizona",0,0,0,0,1,1,342.8125
1998,"arizona",0,0,0,1,0,1,342.8125
1993,"arizona",0,1,5000,1,1,0,342.8125
2001,"arkansas",0,0,0,1,1,1,204
1994,"arkansas",0,0,0,0,1,1,204
2001,"arkansas",0,0,0,1,0,1,204
2001,"arkansas",0,1,36000,1,1,1,204
1995,"arkansas",0,0,0,1,0,1,204
1993,"arkansas",0,1,6000,1,1,0,204
1996,"arkansas",0,0,294,1,1,1,204
1995,"arkansas",0,0,0,1,0,1,204
1995,"arkansas",0,0,0,1,1,1,204
2002,"arkansas",0,1,12000,0,0,1,204
1998,"arkansas",0,0,0,0,0,1,204
1998,"arkansas",0,0,0,1,0,1,204
1997,"arkansas",0,0,0,1,0,1,204
2000,"arkansas",0,1,24000,1,0,1,204
1998,"arkansas",0,0,0,0,0,1,204
1995,"arkansas",0,1,6500,1,0,1,204
1996,"arkansas",0,0,0,1,0,1,204
2002,"arkansas",0,0,0,0,0,1,204
2005,"arkansas",0,0,0,1,0,1,204
2002,"arkansas",0,0,18720,1,0,1,204
1993,"arkansas",0,1,20000,1,0,0,204
1999,"arkansas",0,0,0,0,0,1,204
1992,"arkansas",0,0,0,1,1,0,204
2005,"arkansas",0,0,0,0,0,1,204
2003,"arkansas",0,1,17001,1,0,1,204
2002,"arkansas",0,1,52000,1,0,1,204
2004,"arkansas",0,0,0,0,1,1,204
2000,"arkansas",0,0,0,1,1,1,204
1992,"arkansas",1,0,0,0,1,0,204
1993,"arkansas",0,0,0,1,0,0,204
1993,"arkansas",0,0,0,0,0,0,204
1995,"arkansas",0,1,25000,0,0,1,204
2004,"arkansas",0,0,0,1,0,1,204
1992,"arkansas",0,0,0,0,1,0,204
1995,"arkansas",0,0,0,1,1,1,204
2004,"arkansas",0,0,0,0,1,1,204
1998,"arkansas",0,0,4819,1,0,1,204
1993,"arkansas",0,0,0,1,0,0,204
1994,"arkansas",0,0,0,0,1,1,204
1992,"arkansas",0,0,0,1,1,0,204
2002,"arkansas",0,0,0,0,0,1,204
2004,"arkansas",0,0,0,0,1,1,204
1992,"arkansas",0,0,0,1,0,0,204
2003,"arkansas",0,0,0,1,1,1,204
2005,"arkansas",0,0,0,1,1,1,204
2001,"arkansas",0,0,0,0,1,1,204
2000,"arkansas",0,0,0,0,1,1,204
1992,"arkansas",1,0,0,0,1,0,204
1994,"arkansas",0,0,0,1,0,1,204
2003,"arkansas",0,0,0,1,1,1,204
1993,"arkansas",0,0,0,1,1,0,204
1994,"arkansas",0,0,0,1,1,1,204
1999,"arkansas",0,0,0,0,1,1,204
1996,"arkansas",1,0,0,0,1,1,204
2002,"arkansas",0,1,31000,0,0,1,204
1994,"arkansas",0,0,0,1,0,1,204
1999,"arkansas",0,1,13000,1,0,1,204
1997,"arkansas",0,0,0,1,1,1,204
1996,"arkansas",0,0,0,1,1,1,204
